personId,playerName,team,games,minutes,minutes_method,FGA,poss_used,game_score,gs_rate,rate_unit,replacement_rate,prod_score,eligible,production_tier
1629567,Hiedeman,SEA,26,755.7,reconstructed,328,420.7,291,15.402,per40min,9.207,117.04,TRUE,upper rotation
1628277,Gray,ATL,24,794.3,reconstructed,345,447.4,299.7,15.093,per40min,9.207,116.87,TRUE,upper rotation
1628886,Canada,ATL,24,752.5,reconstructed,211,302.1,289.8,15.406,per40min,9.207,116.6,TRUE,upper rotation
1627675,Williams,MIN,25,774.5,reconstructed,363,424.8,293.5,15.158,per40min,9.207,115.22,TRUE,upper rotation
1642785,Citron,WAS,20,681.5,reconstructed,224,331.8,270.2,15.86,per40min,9.207,113.34,TRUE,upper rotation
1642304,Leite,PDX,23,585.8,reconstructed,235,377.8,246.4,16.825,per40min,9.207,111.56,TRUE,top
1631019,Smith,LVA,24,573.9,reconstructed,175,240,239.6,16.698,per40min,9.207,107.49,TRUE,top
1642792,Iriafen,WAS,20,560.7,reconstructed,221,303.3,232.7,16.602,per40min,9.207,103.65,TRUE,top
1628931,Williams,GSV,24,613.5,reconstructed,303,383.2,244.4,15.934,per40min,9.207,103.17,TRUE,upper rotation
1631007,Burton,GSV,25,705.3,reconstructed,236,322.1,261.9,14.852,per40min,9.207,99.54,TRUE,upper rotation
1628279,Sykes,TOR,15,476.7,reconstructed,228,308.8,209.2,17.555,per40min,9.207,99.48,TRUE,top
1631022,Austin,WAS,22,640.5,reconstructed,247,364.9,244.3,15.258,per40min,9.207,96.88,TRUE,upper rotation
1629484,Gustafson,PDX,24,549.2,reconstructed,211,244.2,221.3,16.118,per40min,9.207,94.88,TRUE,upper rotation
1627674,Copper,PHX,24,777.2,reconstructed,384,513,273.2,14.06,per40min,9.207,94.29,TRUE,upper rotation
1642767,Salaun,GSV,25,568.7,reconstructed,247,297.9,222.9,15.677,per40min,9.207,91.98,TRUE,upper rotation
1630442,Mack,PHX,18,452.2,reconstructed,115,148.1,190.7,16.867,per40min,9.207,86.6,TRUE,top
1642798,Malonga,SEA,18,459.7,reconstructed,241,320.8,187.8,16.342,per40min,9.207,81.99,TRUE,upper rotation
203398,Griner,CON,14,356.2,reconstructed,145,192.9,162.8,18.282,per40min,9.207,80.81,TRUE,top
203833,Gray,LVA,24,790.6,reconstructed,239,331.5,261.8,13.246,per40min,9.207,79.82,TRUE,rotation
203400,Diggins,CHI,19,552.9,reconstructed,222,294.2,205,14.83,per40min,9.207,77.73,TRUE,upper rotation
1631055,Sabally,TOR,17,412,reconstructed,133,177,171.6,16.661,per40min,9.207,76.77,TRUE,top
1631135,Nelson-Ododa,CON,20,409.7,reconstructed,120,183,167.4,16.343,per40min,9.207,73.09,TRUE,upper rotation
1629524,Carleton,PDX,24,727,reconstructed,257,316,234.7,12.914,per40min,9.207,67.36,TRUE,rotation
1631083,Engstler,PDX,25,595.8,reconstructed,187,257.8,204.3,13.717,per40min,9.207,67.17,TRUE,rotation
1630150,Carter,LVA,13,219.9,reconstructed,100,133.3,115.8,21.061,per40min,9.207,65.18,TRUE,top
1631136,Astier,NYL,24,583.9,reconstructed,154,225.2,198.8,13.619,per40min,9.207,64.4,TRUE,rotation
1642321,Taylor,CHI,22,420.2,reconstructed,226,286.2,158.5,15.088,per40min,9.207,61.78,TRUE,upper rotation
1643425,Fudd,DAL,23,713.3,reconstructed,269,300.4,224.5,12.589,per40min,9.207,60.3,TRUE,rotation
1643428,Johnson,SEA,26,739.5,reconstructed,306,405.2,230.1,12.445,per40min,9.207,59.87,TRUE,rotation
204330,Harrison,TOR,14,342.1,reconstructed,145,183.4,137.7,16.1,per40min,9.207,58.95,TRUE,upper rotation
1643431,Okot,ATL,24,241.1,reconstructed,101,151.5,111.8,18.545,per40min,9.207,56.29,TRUE,top
1628269,Coffey,MIN,25,668.4,reconstructed,163,191.4,207.8,12.436,per40min,9.207,53.95,TRUE,rotation
1628922,Stevens,CHI,19,466.7,reconstructed,196,249.2,157.4,13.49,per40min,9.207,49.97,TRUE,rotation
1643445,Rice,TOR,10,266.6,reconstructed,75,107.8,111.3,16.697,per40min,9.207,49.92,FALSE,below threshold
1642800,Morrow,CON,17,385.7,reconstructed,178,224.7,138.7,14.383,per40min,9.207,49.91,TRUE,upper rotation
1642822,Chen,GSV,25,365.6,reconstructed,131,170.6,133.2,14.572,per40min,9.207,49.04,TRUE,upper rotation
1642782,Barker,PDX,24,607.9,reconstructed,200,265.4,186.5,12.273,per40min,9.207,46.58,TRUE,rotation
1629566,Xu,NYL,24,301.4,reconstructed,96,113.2,114.6,15.208,per40min,9.207,45.22,FALSE,below threshold
1630996,Burrell,LAS,23,637.4,reconstructed,227,310.8,189.2,11.874,per40min,9.207,42.49,TRUE,rotation
1629482,Cunningham,IND,23,526,reconstructed,143,182.8,163.2,12.412,per40min,9.207,42.13,TRUE,rotation
1642793,James,DAL,24,293.5,reconstructed,146,177.3,109.6,14.939,per40min,9.207,42.05,TRUE,upper rotation
203026,Hayes,GSV,23,363.5,reconstructed,119,167.5,125.6,13.82,per40min,9.207,41.92,TRUE,upper rotation
204323,Parker-Tyus,LVA,21,222.6,reconstructed,73,103,92.5,16.623,per40min,9.207,41.27,FALSE,below threshold
1628881,Billings,IND,23,465.3,reconstructed,101,147.3,148.3,12.749,per40min,9.207,41.19,TRUE,rotation
1642290,Edwards,CON,18,351.5,reconstructed,132,181.1,121.6,13.837,per40min,9.207,40.69,TRUE,upper rotation
1629481,Ogunbowale,DAL,24,695,reconstructed,287,355.8,200.3,11.528,per40min,9.207,40.33,TRUE,rotation
1642303,Lacan,CON,15,434.7,reconstructed,167,211.5,140.4,12.918,per40min,9.207,40.33,TRUE,rotation
1643420,Juskaite,TOR,24,553.5,reconstructed,162,224.6,166.8,12.055,per40min,9.207,39.4,TRUE,rotation
1631141,Melbourne,SEA,25,591.2,reconstructed,150,234,175.1,11.846,per40min,9.207,39,TRUE,rotation
1643427,Betts,WAS,23,372.6,reconstructed,114,153.2,124,13.311,per40min,9.207,38.22,TRUE,rotation
1642287,Brink,LAS,15,259.7,reconstructed,85,142.2,96.8,14.91,per40min,9.207,37.02,FALSE,below threshold
1641652,Siegrist,DAL,23,314.9,reconstructed,110,124.9,108.3,13.758,per40min,9.207,35.82,TRUE,upper rotation
1627700,Allemand,TOR,18,520.8,reconstructed,85,118.5,153.4,11.782,per40min,9.207,33.52,FALSE,below threshold
204333,Cloud,CHI,23,632.3,reconstructed,161,247.6,176.2,11.146,per40min,9.207,30.65,TRUE,rotation
1630149,Sabally,NYL,13,217.8,reconstructed,98,132.8,79.9,14.674,per40min,9.207,29.77,FALSE,below threshold
1642797,Kosu,MIN,24,267.5,reconstructed,73,102.6,91.2,13.638,per40min,9.207,29.63,FALSE,below threshold
1629546,Johannes,NYL,24,560.6,reconstructed,185,237.8,157.2,11.217,per40min,9.207,28.16,TRUE,rotation
