player_id,player_name,team,position,gp,minutes,gmsc_per40,production_tier,rapm,o_rapm,d_rapm,rapm_tier,contested_shots_pg,deflections_pg,hustle_tier,off_rating,def_rating,net_rating,ts_pct,usg_pct
1643469,Indya Nivar,ATL,G,20,61.31666666666667,6.784,below threshold,NA,NA,NA,NA,NA,NA,NA,101.6,90.4,11.2,0.358,0.168
1630461,Kiana Williams,LAS,G,20,242.31666666666663,6.768,below threshold,NA,NA,NA,NA,NA,NA,NA,99.6,107.5,-7.9,0.497,0.159
1643457,Teonni Key,TOR,F,29,235.96833333333333,6.628,below threshold,NA,NA,NA,NA,NA,NA,NA,98.6,113,-14.4,0.461,0.111
1643644,Alicia Florez,WAS,G,23,321.955,6.461,below threshold,NA,NA,NA,NA,NA,NA,NA,95.2,102.3,-7.1,0.384,0.179
1643462,Chance Gray,LAS,G,29,304.24,6.429,below threshold,NA,NA,NA,NA,NA,NA,NA,93.7,112,-18.3,0.527,0.128
1643647,Tima Pouye,TOR,G,19,177.93333333333334,6.137,below threshold,NA,NA,NA,NA,NA,NA,NA,104.9,117.6,-12.8,0.477,0.181
1643437,Ashlon Jackson,CON,G,7,73.88,5.847,below threshold,NA,NA,NA,NA,NA,NA,NA,74.3,100,-25.7,0.388,0.097
1631021,Sika Kone,ATL,F,27,143.855,5.811,below threshold,NA,NA,NA,NA,NA,NA,NA,101.4,101,0.4,0.418,0.189
1629488,Brianna Turner,LVA,F,31,399.165,5.802,below threshold,NA,NA,NA,NA,NA,NA,NA,101.1,103.6,-2.5,0.624,0.068
204335,Betnijah Laney-Hamilton,WAS,G,18,299.84166666666664,5.763,below threshold,NA,NA,NA,NA,NA,NA,NA,108.5,104,4.5,0.509,0.161
1642794,Juste Jocyte,GSV,G,10,60.805,5.723,below threshold,NA,NA,NA,NA,NA,NA,NA,109.3,100,9.3,0.454,0.243
1642801,Aaliyah Nye,ATL,G,15,21.346666666666668,5.621,below threshold,NA,NA,NA,NA,NA,NA,NA,118.4,137.2,-18.8,0.417,0.113
1631263,Nikolina Milic,TOR,F,7,63.053333333333335,5.519,below threshold,NA,NA,NA,NA,NA,NA,NA,98.5,113.3,-14.8,0.506,0.177
1630143,Luisa Geiselsoder,PDX,C,21,347.53833333333336,5.502,fringe,NA,NA,NA,NA,NA,NA,NA,103.8,106.2,-2.4,0.441,0.159
1642296,Nyadiew Puoch,PDX,F,32,554.5133333333333,5.446,fringe,NA,NA,NA,NA,NA,NA,NA,103.4,110,-6.6,0.449,0.122
1630115,Joyner Holmes,SEA,F,1,14.733333333333333,5.158,below threshold,NA,NA,NA,NA,NA,NA,NA,71.4,75.9,-4.4,0.25,0.176
1643473,Taina Mair,SEA,G,5,20.233333333333334,4.942,below threshold,NA,NA,NA,NA,NA,NA,NA,89.7,134.1,-44.4,0.394,0.234
1642781,Georgia Amoore,WAS,G,32,725.14,4.909,fringe,NA,NA,NA,NA,NA,NA,NA,100.4,102.1,-1.7,0.48,0.156
1630108,Mariella Fasoula,TOR,C,3,15.316666666666666,4.44,below threshold,NA,NA,NA,NA,NA,NA,NA,106.5,116.7,-10.2,0.4,0.179
1629479,Teaira McCowan,MIN,C,10,68.34166666666667,4.273,below threshold,NA,NA,NA,NA,NA,NA,NA,110.9,80.9,30.1,0.429,0.135
1631006,Kierstan Bell,LVA,F,23,254.71666666666667,4.146,below threshold,NA,NA,NA,NA,NA,NA,NA,102.9,109.7,-6.9,0.352,0.131
1643487,Quionche Carter,PHX,G,13,80.59666666666666,4.07,below threshold,NA,NA,NA,NA,NA,NA,NA,98.2,108.8,-10.7,0.3,0.142
202252,Alysha Clark,DAL,F,21,197.39166666666668,4.012,below threshold,NA,NA,NA,NA,NA,NA,NA,104.7,103,1.7,0.528,0.109
1643439,Tonie Morgan,LAS,G,1,6.42,3.738,below threshold,NA,NA,NA,NA,NA,NA,NA,107.1,100,7.1,0.75,0.235
1642775,Alex Wilson,WAS,G,4,57.91833333333334,3.315,below threshold,NA,NA,NA,NA,NA,NA,NA,85,104.3,-19.3,0.368,0.126
1642826,Aubrey Griffin,NYL,F,4,7.72,3.109,below threshold,NA,NA,NA,NA,NA,NA,NA,100,105,-5,1,0.087
1630389,Dana Evans,LVA,G,10,165.52166666666668,2.102,below threshold,NA,NA,NA,NA,NA,NA,NA,97.4,121.5,-24.1,0.322,0.176
1630993,Anneli Maley,NYL,F,6,53.013333333333335,1.962,below threshold,NA,NA,NA,NA,NA,NA,NA,111.3,103.6,7.7,0.255,0.092
1629581,Emese Hof,MIN,C,3,20.618333333333332,1.746,below threshold,NA,NA,NA,NA,NA,NA,NA,77.8,112.8,-35,0.509,0.216
1643525,Alex Fowler,NYL,F,2,31.291666666666668,1.662,below threshold,NA,NA,NA,NA,NA,NA,NA,97,116.9,-20,0.551,0.194
1643450,Rori Harmon,WAS,G,10,67.48166666666667,1.482,below threshold,NA,NA,NA,NA,NA,NA,NA,86.6,96.6,-10,0.425,0.152
1643458,Saylor Poffenbarger,CHI,G,5,25.516666666666666,1.411,below threshold,NA,NA,NA,NA,NA,NA,NA,87.5,94.6,-7.1,0,0.065
1643467,Cassandre Prosper,WAS,G,28,327.31333333333333,0.953,below threshold,NA,NA,NA,NA,NA,NA,NA,95,102.4,-7.4,0.35,0.151
1643479,Ndjakalenga Mwenentanda,GSV,G,5,12.9,0.93,below threshold,NA,NA,NA,NA,NA,NA,NA,118.2,109.1,9.1,0,0.053
1643440,Darianna Littlepage-Buggs,WAS,G,1,0.24833333333333332,0,below threshold,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
1628920,Mercedes Russell,IND,C,1,0.9366666666666666,0,below threshold,NA,NA,NA,NA,NA,NA,NA,0,150,-150,0,0
1643706,Ornella Bankole,TOR,G,3,15.166666666666666,0,below threshold,NA,NA,NA,NA,NA,NA,NA,100,100,0,0.347,0.105
1642790,Sania Feagin,PDX,F,3,10.2,-0.784,below threshold,NA,NA,NA,NA,NA,NA,NA,100,130.8,-30.8,0,0.032
1642818,Maddy Westbeld,CHI,F,3,28.466666666666665,-1.124,below threshold,NA,NA,NA,NA,NA,NA,NA,88.7,106.3,-17.6,0.25,0.097
1629539,Amy Okonkwo,ATL,F,1,1.3333333333333333,-6,below threshold,NA,NA,NA,NA,NA,NA,NA,33.3,25,8.3,0.266,0.667
1631039,Miela Sowah,GSV,G,2,5.783333333333333,-12.45,below threshold,NA,NA,NA,NA,NA,NA,NA,71.4,166.7,-95.2,0,0.125
1642796,Rayah Marshall,CON,C,1,3.566666666666667,-34.766,below threshold,NA,NA,NA,NA,NA,NA,NA,16.7,160,-143.3,0,0.4
