team,raw_value,raw_rank,adjusted_value,adjusted_rank,delta,metric
PDX,0.0969902614620347,3,0.09397308477665726,3,0,corner3_share
PHX,0.09641672744836242,4,0.09201793270078046,4,0,corner3_share
SEA,0.0635367597102935,13,0.06321061352090192,13,0,corner3_share
TOR,0.08786561270721108,5,0.08531390237944185,5,0,corner3_share
WAS,0.06797744979126474,10,0.06586951474076588,11,-1,corner3_share
ATL,0.3124141339045836,7,0.316183652462513,6,1,atb3_share
CHI,0.2636321621509073,12,0.2663657447792972,12,0,atb3_share
CON,0.22340939364960127,15,0.2314468118533158,15,0,atb3_share
DAL,0.2815618744141387,9,0.2833046173864945,9,0,atb3_share
GSV,0.3433789131075786,1,0.34334353102949183,1,0,atb3_share
IND,0.31503054273890885,6,0.3128328869629506,7,-1,atb3_share
LAS,0.308518717470658,8,0.31109448221264,8,0,atb3_share
LVA,0.26644447766205304,11,0.2717691457580653,11,0,atb3_share
MIN,0.2514225798137981,13,0.25576100015349246,13,0,atb3_share
NYL,0.333200083392084,2,0.33387760549413054,2,0,atb3_share
PDX,0.3195683115725768,4,0.32211572834016783,3,1,atb3_share
PHX,0.27314959591290594,10,0.2786508213086781,10,0,atb3_share
SEA,0.3160224484627308,5,0.31649310542105646,5,0,atb3_share
TOR,0.32181174162237425,3,0.3217090182826377,4,-1,atb3_share
WAS,0.23847147879085454,14,0.24693332290777673,14,0,atb3_share
ATL,0.4074058210698785,2,0.3962631807026828,2,0,driving_share
CHI,0.37425362998278733,3,0.36799457400862046,3,0,driving_share
CON,0.3438919774959378,5,0.3406692261689381,4,1,driving_share
DAL,0.28576593068397177,14,0.2863427683238677,14,0,driving_share
GSV,0.32316397511049316,8,0.3167657794744649,10,-2,driving_share
IND,0.33490893841963043,6,0.33316713243362595,6,0,driving_share
LAS,0.34637751195672606,4,0.33960824754487384,5,-1,driving_share
LVA,0.2651800744685349,15,0.2668642260846269,15,0,driving_share
MIN,0.3192278220331584,10,0.31707516495538696,9,1,driving_share
NYL,0.32181562993132873,9,0.3172331736709862,8,1,driving_share
PDX,0.32942097491748584,7,0.3215703441350487,7,0,driving_share
PHX,0.3159537883642245,11,0.3116677694688119,11,0,driving_share
SEA,0.3131762871329042,12,0.3097173593581799,12,0,driving_share
TOR,0.3102835933825449,13,0.3063331913021503,13,0,driving_share
WAS,0.4132077738947735,1,0.4026533197098873,1,0,driving_share
ATL,0.08752799470721208,15,0.0960517899792176,15,0,pullup_share
CHI,0.15580090009186243,6,0.1576452891747286,5,1,pullup_share
CON,0.17649563154941014,4,0.17651297918997275,4,0,pullup_share
DAL,0.1982097911664343,2,0.1955735896356495,2,0,pullup_share
GSV,0.12674360155717707,11,0.12896160056348252,12,-1,pullup_share
IND,0.1361967708198706,9,0.1388441796697396,9,0,pullup_share
LAS,0.14492746022931563,8,0.14769076360678882,8,0,pullup_share
LVA,0.20883654962977802,1,0.20642824165179602,1,0,pullup_share
MIN,0.17885094300329243,3,0.17781114682603474,3,0,pullup_share
NYL,0.12397904806137554,12,0.12928836082436374,11,1,pullup_share
PDX,0.10458023948542335,13,0.10847506392999053,13,0,pullup_share
PHX,0.15330180734696,7,0.15546767294289235,7,0,pullup_share
SEA,0.1292299840888696,10,0.1332320768931318,10,0,pullup_share
TOR,0.15652282454425495,5,0.15616840588475858,6,-1,pullup_share
WAS,0.09815730762959944,14,0.10558958456176269,14,0,pullup_share
ATL,0.06943688634240773,5,0.06710033384772372,5,0,cutting_share
CHI,0.08153956822254027,3,0.07684530703398075,3,0,cutting_share
CON,0.054740517032948306,12,0.05523065832816634,12,0,cutting_share
DAL,0.06122453354261397,9,0.06078203893761068,9,0,cutting_share
GSV,0.03327639514169247,15,0.037187184007475144,15,0,cutting_share
IND,0.07234736342028246,4,0.06974102730384206,4,0,cutting_share
LAS,0.06748739635856921,6,0.0655990106129565,6,0,cutting_share
LVA,0.05459933887870623,13,0.05475412488213194,13,0,cutting_share
MIN,0.09243208289469919,1,0.08669988977861759,1,0,cutting_share
NYL,0.05378242768865117,14,0.053930501010498455,14,0,cutting_share
PDX,0.08508380213468063,2,0.08068630951636896,2,0,cutting_share
PHX,0.060293424313667285,11,0.05953436201661663,11,0,cutting_share
SEA,0.06309382765351224,7,0.061902361592041905,7,0,cutting_share
TOR,0.06082783197343226,10,0.059870721236760564,10,0,cutting_share
WAS,0.062268260488723776,8,0.06112408815699563,8,0,cutting_share
ATL,0.03371334848313395,3,0.029721885867676455,3,0,putback_share
CHI,0.02688531765303745,6,0.02534827478227027,6,0,putback_share
CON,0.04045431679732715,1,0.0344331591691934,1,0,putback_share
DAL,0.017657115780897372,14,0.019275111365613513,15,-1,putback_share
GSV,0.019937121420718008,12,0.02143395732260778,11,1,putback_share
IND,0.020208401754247218,11,0.021426607577143857,12,-1,putback_share
LAS,0.022801868169454585,10,0.022543144331508103,10,0,putback_share
LVA,0.023053205742732976,9,0.022991764431979467,9,0,putback_share
MIN,0.027632690883483805,5,0.026285546802600986,5,0,putback_share
NYL,0.03150690111033527,4,0.02865604276572776,4,0,putback_share
PDX,0.017414152254440807,15,0.019722236944270284,14,1,putback_share
PHX,0.01888128280936526,13,0.019914228904466508,13,0,putback_share
SEA,0.023066639988245576,8,0.023325513093006154,8,0,putback_share
TOR,0.0248668840482621,7,0.024802221384365032,7,0,putback_share
WAS,0.03560329084332967,2,0.031142819367296598,2,0,putback_share
ATL,0.34731805664959353,2,0.32819611800202003,3,-1,ft_rate
CHI,0.34693072345808873,3,0.3322639420530527,2,1,ft_rate
CON,0.32936098986805556,7,0.31795928158835796,7,0,ft_rate
DAL,0.2461763837100294,15,0.25884539178006366,15,0,ft_rate
GSV,0.2885999875201729,11,0.28797292445364875,11,0,ft_rate
IND,0.33948626956570993,4,0.3247760693268982,4,0,ft_rate
LAS,0.315489842366141,9,0.30804951791754387,9,0,ft_rate
LVA,0.3060368188378315,10,0.29998263293298255,10,0,ft_rate
MIN,0.26255308753696055,14,0.26939203810665746,14,0,ft_rate
NYL,0.3329587869994143,6,0.3180611941162718,6,0,ft_rate
PDX,0.26969869740444147,13,0.27410449121985575,13,0,ft_rate
PHX,0.33923533274209894,5,0.32359766066476,5,0,ft_rate
SEA,0.27944872118848774,12,0.2802798438334392,12,0,ft_rate
TOR,0.3211530778931335,8,0.3107648673655576,8,0,ft_rate
WAS,0.3909984571184367,1,0.3597186172709247,1,0,ft_rate
ATL,0.17295597036840307,10,0.1761701712797117,9,1,tov_rate
CHI,0.1612189696584249,12,0.16390191358487619,12,0,tov_rate
CON,0.18772598823280162,5,0.18795488710881636,3,2,tov_rate
DAL,0.14549030116895803,15,0.15320421011185084,15,0,tov_rate
GSV,0.15360379438433835,13,0.15916659704711184,13,0,tov_rate
IND,0.18728501540553072,6,0.1841227838368596,6,0,tov_rate
LAS,0.18174088008471212,7,0.18352773538057776,7,0,tov_rate
LVA,0.15267333296033728,14,0.157149256556429,14,0,tov_rate
MIN,0.1687377031966872,11,0.17086660219402183,11,0,tov_rate
NYL,0.18992607660457866,4,0.18741182593026404,5,-1,tov_rate
PDX,0.19382618964747975,2,0.19204408514231128,2,0,tov_rate
PHX,0.1773293795510547,8,0.179091842953728,8,0,tov_rate
SEA,0.19159926270733033,3,0.18744005240063072,4,-1,tov_rate
TOR,0.17538932105126415,9,0.1754430855486137,10,-1,tov_rate
WAS,0.21276741872480923,1,0.20585050250737275,1,0,tov_rate
ATL,0.15874469262956137,1,0.14781900932984623,1,0,secondchance_share
CHI,0.11430291427651372,13,0.11715188827602122,13,0,secondchance_share
CON,0.13520174569413385,4,0.1307196397441456,4,0,secondchance_share
DAL,0.1270239937181757,6,0.12473804302500463,6,0,secondchance_share
GSV,0.14555956041064283,2,0.14096775011349638,2,0,secondchance_share
IND,0.12475784671185229,7,0.12468473851504254,7,0,secondchance_share
LAS,0.11581257620504608,11,0.1183331561797428,12,-1,secondchance_share
LVA,0.10975219228338025,15,0.11440470374176771,15,0,secondchance_share
MIN,0.13334008453290508,5,0.13048629388275162,5,0,secondchance_share
NYL,0.11670264170987873,10,0.11858151680285066,11,-1,secondchance_share
PDX,0.11725139037697511,9,0.11965966875114074,9,0,secondchance_share
PHX,0.11312229949840441,14,0.11505608770281751,14,0,secondchance_share
SEA,0.12106803846836454,8,0.1226996408270992,8,0,secondchance_share
TOR,0.11562565124516992,12,0.11899989539518754,10,2,secondchance_share
WAS,0.13781306410479358,3,0.13268005871705046,3,0,secondchance_share
ATL,0.17295597036840307,10,0.1761701712797117,9,1,live_ball_tov_rate
CHI,0.1612189696584249,12,0.16390191358487619,12,0,live_ball_tov_rate
CON,0.18772598823280162,5,0.18795488710881636,3,2,live_ball_tov_rate
DAL,0.14549030116895803,15,0.15320421011185084,15,0,live_ball_tov_rate
GSV,0.15360379438433835,13,0.15916659704711184,13,0,live_ball_tov_rate
IND,0.18728501540553072,6,0.1841227838368596,6,0,live_ball_tov_rate
LAS,0.18174088008471212,7,0.18352773538057776,7,0,live_ball_tov_rate
LVA,0.15267333296033728,14,0.157149256556429,14,0,live_ball_tov_rate
MIN,0.1687377031966872,11,0.17086660219402183,11,0,live_ball_tov_rate
NYL,0.18992607660457866,4,0.18741182593026404,5,-1,live_ball_tov_rate
PDX,0.19382618964747975,2,0.19204408514231128,2,0,live_ball_tov_rate
PHX,0.1773293795510547,8,0.179091842953728,8,0,live_ball_tov_rate
SEA,0.19159926270733033,3,0.18744005240063072,4,-1,live_ball_tov_rate
TOR,0.17538932105126415,9,0.1754430855486137,10,-1,live_ball_tov_rate
WAS,0.21276741872480923,1,0.20585050250737275,1,0,live_ball_tov_rate
