season,game_id,team_id,team_slug,team_abbreviation,team_display_name,home_away,athlete_id,athlete_uid,athlete_guid,athlete_display_name,athlete_short_name,athlete_first_name,athlete_last_name,athlete_jersey,athlete_position,athlete_headshot,starter,did_not_play,active,ejected,reason
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,3906753,s:40~l:59~a:3906753,9fd561fc-eb90-7974-fdde-77acc2436dd0,Natisha Hiedeman,N. Hiedeman,NA,NA,2,G,https://a.espncdn.com/i/headshots/wnba/players/full/3906753.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,4698736,s:40~l:59~a:4698736,1875dbcd-73f8-3c49-858b-6bab339c69fb,Flau'jae Johnson,F. Johnson,NA,NA,4,G,https://a.espncdn.com/i/headshots/wnba/players/full/4698736.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,4433643,s:40~l:59~a:4433643,50c2fa38-e22a-3ea0-80d8-c6f7be8001ae,Mackenzie Holmes,M. Holmes,NA,NA,54,F,https://a.espncdn.com/i/headshots/wnba/players/full/4433643.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,5105731,s:40~l:59~a:5105731,6f18be21-0028-3499-89be-8159cbfc4e4f,Grace VanSlooten,G. VanSlooten,NA,NA,40,F,https://a.espncdn.com/i/headshots/wnba/players/full/5105731.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,3058892,s:40~l:59~a:3058892,c4d8f47b-e9d5-16b6-d1d0-9d9f39fdb679,Lexie Brown,L. Brown,NA,NA,8,G,https://a.espncdn.com/i/headshots/wnba/players/full/3058892.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,4432832,s:40~l:59~a:4432832,23b8092f-e8e4-37c9-bda1-0a39591da854,Zia Cooke,Z. Cooke,NA,NA,7,G,https://a.espncdn.com/i/headshots/wnba/players/full/4432832.png,FALSE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,5017726,s:40~l:59~a:5017726,2211a4f3-092f-3294-b5f2-2dda7bb7d167,Jade Melbourne,J. Melbourne,NA,NA,5,G,https://a.espncdn.com/i/headshots/wnba/players/full/5017726.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,3917453,s:40~l:59~a:3917453,fdc6aae1-ce6c-1bd9-9f74-12381fd45704,Katie Lou Samuelson,K. Samuelson,NA,NA,33,F,https://a.espncdn.com/i/headshots/wnba/players/full/3917453.png,FALSE,TRUE,FALSE,FALSE,RIGHT KNEE
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,4420318,s:40~l:59~a:4420318,1a2b36a5-ad9c-05f3-62fe-4a4b21a3cfc1,Ezi Magbegor,E. Magbegor,NA,NA,13,F,https://a.espncdn.com/i/headshots/wnba/players/full/4420318.png,FALSE,TRUE,FALSE,FALSE,RIGHT FOOT
2026,401856892,14,seattle-storm,SEA,Seattle Storm,NA,5106222,s:40~l:59~a:5106222,db8bf392-38a2-3c5b-8437-df665ff5cdfe,Taina Mair,T. Mair,NA,NA,22,G,https://a.espncdn.com/i/headshots/wnba/players/full/5106222.png,FALSE,TRUE,FALSE,FALSE,COACH'S DECISION
2026,401856893,3,dallas-wings,DAL,Dallas Wings,NA,3906949,s:40~l:59~a:3906949,b8b701ef-ec68-672e-14ee-86d37130f590,Jessica Shepard,J. Shepard,NA,NA,32,F,https://a.espncdn.com/i/headshots/wnba/players/full/3906949.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856893,3,dallas-wings,DAL,Dallas Wings,NA,3913881,s:40~l:59~a:3913881,af9f2bf5-f7be-a160-609b-577fe20e48e0,Alanna Smith,A. Smith,NA,NA,8,F,https://a.espncdn.com/i/headshots/wnba/players/full/3913881.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856893,3,dallas-wings,DAL,Dallas Wings,NA,2529047,s:40~l:59~a:2529047,35267a55-d166-d26f-f64a-cd78632f4e70,Odyssey Sims,O. Sims,NA,NA,1,G,https://a.espncdn.com/i/headshots/wnba/players/full/2529047.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856893,3,dallas-wings,DAL,Dallas Wings,NA,3904577,s:40~l:59~a:3904577,a35875ce-3ef4-61d5-9a20-483b82d82ed9,Arike Ogunbowale,A. Ogunbowale,NA,NA,24,G,https://a.espncdn.com/i/headshots/wnba/players/full/3904577.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856893,3,dallas-wings,DAL,Dallas Wings,NA,4433730,s:40~l:59~a:4433730,5d79683b-b6b8-3474-a96f-617daff9251e,Paige Bueckers,P. Bueckers,NA,NA,5,G,https://a.espncdn.com/i/headshots/wnba/players/full/4433730.png,TRUE,FALSE,TRUE,FALSE,COACH'S DECISION
2026,401856893,3,dallas-wings,DAL,Dallas Wings,NA,924,s:40~l:59~a:924,09609790-79bb-81d4-522b-7a036e404c50,Alysha Clark,A. Clark,NA,NA,7,F,https://a.espncdn.com/i/headshots/wnba/players/full/924.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
2026,401856893,3,dallas-wings,DAL,Dallas Wings,NA,4399415,s:40~l:59~a:4399415,36c3c518-87d0-8f3b-b961-c63480bb6976,Maddy Siegrist,M. Siegrist,NA,NA,20,F,https://a.espncdn.com/i/headshots/wnba/players/full/4399415.png,FALSE,FALSE,FALSE,FALSE,COACH'S DECISION
