season,group_id,group_name,group_abbreviation,group_short_name,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,stat_name,stat_display_name,stat_short_display_name,stat_description,stat_abbreviation,stat_type,display_value,value
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,pointDifferential,Point Differential,DIFF,Point Differential,DIFF,pointdifferential,+242,242
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,points,Points,PTS,Total Points,PTS,points,6.0,6
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,pointsAgainst,Points Against,PA,Total Points Against,PA,pointsagainst,3638,3638
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,pointsFor,Points For,PF,Total Points For,PF,pointsfor,3880,3880
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,streak,Streak,STRK,Current Streak,STRK,streak,W2,2
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,winPercent,Win Percentage,PCT,Winning Percentage,PCT,winpercent,.650,0.65
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,wins,Wins,W,Wins,W,wins,26,26
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,gamesAhead,Games Ahead,GA,Games Ahead,GA,gamesahead,-,0
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,overall,Overall,OVER,Overall Record,Total,total,26-14,NA
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,Home,Home,HOME,Home Record,NA,home,14-6,NA
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,Road,Road,AWAY,Away Record,NA,road,12-8,NA
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,vs. Div.,DIV,DIV,Division Record,NA,vsdiv,0-0,NA
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,vs. Conf.,CONF,CONF,Conference Record,NA,vsconf,13-5,NA
2026,1,Eastern Conference,E,NA,5,s:40~l:59~t:5,NA,Indiana,Fever,IND,Indiana Fever,Fever,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,Last Ten Games,Last Ten Games,L10,Record last 10 games,Last Ten,lasttengames,7-3,NA
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,avgPointsAgainst,Opponent Points Per Game,OPP PPG,Opponent Points Per Game,OPP PPG,avgpointsagainst,86.9,86.85
2026,1,Eastern Conference,E,NA,9,s:40~l:59~t:9,NA,New York,Liberty,NY,New York Liberty,Liberty,NA,NA,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,avgPointsFor,Points Per Game,PPG,Points Per Game,PPG,avgpointsfor,89.8,89.825
