season,athlete_id,athlete_display_name,athlete_first_name,athlete_last_name,athlete_position_abbreviation,athlete_jersey,team_id,team_display_name,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,miscellaneous,SC-EFF,scoringEfficiency,Scoring Efficiency,The efficiency with which a team or player scores the basketball.,1.336,1.336
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,miscellaneous,SH-EFF,shootingEfficiency,Shooting Efficiency,The efficiency with which a team or player shoots the basketball.,0.50,0.5
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,miscellaneous,TECH,technicalFouls,Technical Fouls,The number of times an player or coach was called for a technical foul (unsportsmanlike conduct or violations).,39,39
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,miscellaneous,FLAG,flagrantFouls,Flagrant Fouls,The number of fouls that the officials thought were unnecessary or excessive.,2,2
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,miscellaneous,DQ,disqualifications,Disqualifications,The number of times a player reached the foul limit.,42,42
2026,1054,Tiffany Hayes,Tiffany,Hayes,G,15,129689,Atlanta Dream,miscellaneous,EJECT,ejections,Ejections,The number of times a player or coach is removed from the game as a result of a serious offense.,1,1
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,GP,gamesPlayed,Games Played,Games Played,475,475
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,GS,gamesStarted,Games Started,The number of games started by an athlete.,446,446
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,MIN,avgMinutes,Minutes Per Game,The average number of minutes per game.,30.1,30.1
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,PTS,avgPoints,Points Per Game,The average number of points scored per game.,16.8,16.8
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,OR,avgOffensiveRebounds,Offensive Rebounds Per Game,The average offensive rebounds per game.,1.9,1.9
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,DR,avgDefensiveRebounds,Defensive Rebounds Per Game,The average defensive rebounds per game.,5.7,5.7
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,REB,avgRebounds,Rebounds Per Game,The average rebounds per game.,7.6,7.6
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,AST,avgAssists,Assists Per Game,The average assists per game.,2.1,2.1
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,STL,avgSteals,Steals Per Game,The average steals per game.,1.5,1.5
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,BLK,avgBlocks,Blocks Per Game,The average blocks per game.,0.6,0.6
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,TO,avgTurnovers,Turnovers Per Game,The average turnovers committed per game.,1.8,1.8
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,FG,avgFieldGoalsMade-avgFieldGoalsAttempted,Field Goals Made-Attempted Per Game,The average field goals made per game.-The average field goals attempted per game.,6.6-12.3,NA
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,53.7,53.7
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,3PT,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted Per Game,The average three point field goals made per game.-The average three point field goals attempted per game.,0.6-1.6,NA
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,37.3,37.3
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,FT,avgFreeThrowsMade-avgFreeThrowsAttempted,Free Throws Made-Attempted Per Game,The average free throw shots made per game.-The average free throw shots attempted per game.,3.0-3.5,NA
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,84.0,84
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,averages,PF,avgFouls,Fouls Per Game,The average fouls committed per game.,2.5,2.5
2026,1068,Nneka Ogwumike,Nneka,Ogwumike,F,30,6,Los Angeles Sparks,totals,PTS,points,Points,The number of points scored.,7975,7975
