game_id,season,period,clock,team_id,team_tricode,person_id,player_name,action_type,sub_type,shot_result,shot_value,shot_distance,x_legacy,y_legacy,description,score_home,score_away
1022600001,2026,2,PT03M52.00S,1611661313,NYL,1629546,Johannes,Made Shot,Jump Shot,Made,3,28,-149,240,Johannes 28' 3PT Jump Shot (12 PTS) (Vanloo 4 AST),52,26
1022600001,2026,2,PT03M39.00S,1611661313,NYL,203822,Gardner,Missed Shot,Running Layup Shot,Missed,2,4,-16,40,MISS Gardner 4' Running Layup,,
1022600001,2026,2,PT03M22.00S,1611661323,CON,1642800,Morrow,Missed Shot,Jump Shot,Missed,3,25,118,226,MISS Morrow 25' 3PT Jump Shot,,
1022600001,2026,2,PT03M15.00S,1611661313,NYL,203822,Gardner,Missed Shot,Running Jump Shot,Missed,3,25,-191,156,MISS Gardner 25' 3PT Running Jump Shot,,
1022600001,2026,2,PT03M08.00S,1611661313,NYL,1629566,Han,Missed Shot,Jump Shot,Missed,3,27,-83,255,MISS Xu 27' 3PT Jump Shot,,
1022600001,2026,2,PT02M54.00S,1611661323,CON,203398,Griner,Made Shot,Driving Layup Shot,Made,2,1,-13,6,Griner 1' Driving Layup (4 PTS) (Van Lith 3 AST),54,28
1022600001,2026,2,PT02M25.00S,1611661323,CON,1641649,Miller,Missed Shot,Pullup Jump shot,Missed,2,17,-94,141,MISS Miller 17' Pullup Jump Shot,,
1022600001,2026,2,PT01M57.00S,1611661323,CON,1629568,Burke,Missed Shot,Cutting Layup Shot,Missed,2,2,21,13,MISS Burke 2' Cutting Layup Shot,,
1022600001,2026,2,PT01M51.00S,1611661313,NYL,1627668,Stewart,Made Shot,Running Layup Shot,Made,2,3,26,18,Stewart 3' Running Layup (17 PTS) (Johannes 3 AST),58,29
1022600001,2026,2,PT01M42.00S,1611661323,CON,203398,Griner,Made Shot,Turnaround Fadeaway shot,Made,2,12,-117,5,Griner 12' Turnaround Fadeaway (7 PTS) (Rivers 5 AST),58,31
1022600001,2026,2,PT01M27.00S,1611661313,NYL,204335,Laney-Hamilton,Made Shot,Driving Floating Bank Jump Shot,Made,2,4,-24,35,Laney-Hamilton 4' Driving Floating Bank Jump Shot (6 PTS),60,31
1022600001,2026,2,PT01M12.00S,1611661323,CON,1641649,Miller,Missed Shot,Driving Finger Roll Layup Shot,Missed,2,4,27,23,MISS Miller 4' Driving Finger Roll Layup,,
1022600001,2026,2,PT01M04.00S,1611661313,NYL,204335,Laney-Hamilton,Made Shot,Cutting Layup Shot,Made,2,4,30,24,Laney-Hamilton 4' Cutting Layup Shot (8 PTS) (Vanloo 5 AST),62,31
1022600001,2026,2,PT00M47.20S,1611661323,CON,203398,Griner,Made Shot,Turnaround Hook Shot,Made,2,2,-15,7,Griner 2' Turnaround Hook Shot (9 PTS) (Burke 1 AST),62,33
1022600001,2026,2,PT00M01.90S,1611661323,CON,1642809,Rivers,Made Shot,Pullup Jump shot,Made,2,17,-122,118,Rivers 17' Pullup Jump Shot (3 PTS) (Griner 1 AST),66,37
1022600001,2026,2,PT00M00.40S,1611661313,NYL,1629546,Johannes,Missed Shot,Pullup Jump shot,Missed,3,50,-88,489,MISS Johannes 50' 3PT Pullup Jump Shot,,
1022600001,2026,3,PT09M31.00S,1611661323,CON,1642800,Morrow,Missed Shot,Jump Shot,Missed,3,25,174,173,MISS Morrow 25' 3PT Jump Shot,,
1022600001,2026,3,PT09M28.00S,1611661323,CON,1629568,Burke,Made Shot,Putback Layup Shot,Made,2,1,0,-6,Burke 1' Putback Layup (4 PTS),66,39
1022600001,2026,3,PT09M15.00S,1611661313,NYL,1627668,Stewart,Made Shot,Cutting Layup Shot,Made,2,2,-18,-6,Stewart 2' Cutting Layup Shot (23 PTS) (Jones 1 AST),68,39
1022600001,2026,3,PT08M57.00S,1611661323,CON,1641649,Miller,Made Shot,Jump Shot,Made,3,27,-131,239,Miller 27' 3PT Jump Shot (11 PTS) (Burke 2 AST),68,42
1022600001,2026,3,PT08M29.00S,1611661323,CON,1641649,Miller,Made Shot,Driving Floating Bank Jump Shot,Made,2,6,-5,55,Miller 6' Driving Floating Bank Jump Shot (13 PTS),68,44
1022600001,2026,3,PT08M19.00S,1611661323,CON,1641649,Miller,Missed Shot,Running Layup Shot,Missed,2,4,35,25,MISS Miller 4' Running Layup,,
1022600001,2026,3,PT08M08.00S,1611661323,CON,1642800,Morrow,Made Shot,Cutting Layup Shot,Made,2,3,23,17,Morrow 3' Cutting Layup Shot (6 PTS) (Griner 2 AST),68,46
1022600001,2026,3,PT07M00.00S,1611661313,NYL,1631136,Astier,Missed Shot,Cutting Layup Shot,Missed,2,4,29,25,MISS Astier 4' Cutting Layup Shot,,
